TP123456, Introduction_to_Programming: A, Data_Structures: B+
TP123457, Algorithms: A-, Database_Systems: B
TP123458, Software_Engineering: A, Web_Development: C+
TP123459, Mobile_Applications: B, Cloud_Computing: A-
TP123460, Artificial_Intelligence: A, Machine_Learning: B+
TP123461, Computer_Networks: B, Operating_Systems: A
TP123462, Cybersecurity: B-, Big_Data_Analytics: C+
TP123463, Game_Development: B, Robotics: A-
TP123464, Computer_Vision: A, Natural_Language_Processing: B+
TP123465, Internet_of_Things: B, Blockchain_Technology: A
TP123466, Quantum_Computing: C, Advanced_Programming: A
TP123467, Embedded_Systems: B-, Digital_Forensics: B+
TP123468, Human_Computer_Interaction: A-, IT_Project_Management: B
TP123469, Software_Testing: A, Parallel_Computing: B+
TP123470, DevOps_Principles: B, Computational_Biology: A-
TP123471, Bioinformatics: A, Ethics_in_Technology: C
TP123472, Professional_Development: A-, IT_Research_Methods: B+
TP123473, Digital_Marketing: B, Social_Media_Analytics: A-
TP123474, Virtual_Reality: A, Augmented_Reality: B+
TP123475, FinTech: B, E_Commerce_Systems: A
TP123476, Introduction_to_Programming: A, Data_Structures: B+
TP123477, Algorithms: A-, Database_Systems: B
TP123478, Software_Engineering: A, Web_Development: C+
TP123479, Mobile_Applications: B, Cloud_Computing: A-
TP123480, Artificial_Intelligence: A, Machine_Learning: B+
TP123481, Computer_Networks: B, Operating_Systems: A
TP123482, Cybersecurity: B-, Big_Data_Analytics: C+
TP123483, Game_Development: B, Robotics: A-
TP123484, Computer_Vision: A, Natural_Language_Processing: B+
TP123485, Internet_of_Things: B, Blockchain_Technology: A
TP123486, Quantum_Computing: C, Advanced_Programming: A
TP123487, Embedded_Systems: B-, Digital_Forensics: B+
TP123488, Human_Computer_Interaction: A-, IT_Project_Management: B
TP123489, Software_Testing: A, Parallel_Computing: B+
TP123490, DevOps_Principles: B, Computational_Biology: A-
TP123491, Bioinformatics: A, Ethics_in_Technology: C
TP123492, Professional_Development: A-, IT_Research_Methods: B+
TP123493, Digital_Marketing: B, Social_Media_Analytics: A-
TP123494, Virtual_Reality: A, Augmented_Reality: B+

